USR_ID,CLIENT_TIME,SESSION_ID,TOY_AMOUNT,TOY_NAME,UNLOCK_CAUSE,ISNEWTOY,TOY_UNLOCKED_METHOD
u64942986187617555,2024-04-01T11:35:24Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2024220678104021878,2024-04-01T11:35:18Z,3,1,BUNZ_VD282,Free Gift,1,Free_Gift
u2971907177143206348,2024-04-01T11:35:19Z,3,2,Shooting Star_VU117,Free Gift,1,Free_Gift
u5922567366259292333,2024-04-01T11:35:42Z,3,0,ELSA_WITH_BRUNI_VDF02,Toy Scan,1,Toy_Scan
u4095390704659652356,2024-04-01T11:35:29Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4095390704659652356,2024-04-01T11:35:46Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u64942986187617555,2024-04-01T11:35:46Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3959142160877084607,2024-04-01T11:35:49Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3252692156063231699,2024-04-01T11:35:57Z,2,0,TREXY_VT084A,Toy Scan,1,Toy_Scan
u2879946490391113893,2024-04-01T11:35:52Z,2,0,HOODY_VU091,Toy Scan,1,Toy_Scan
u2879946490391113893,2024-04-01T11:36:10Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7382528162595124491,2024-04-01T11:36:19Z,2,0,Drone_VU078,Toy Scan,1,Toy_Scan
u125565138239342270,2024-04-01T11:36:15Z,2,0,GUITAR_1_PARROCK_VTB45,Toy Scan,1,Toy_Scan
u3959142160877084607,2024-04-01T11:36:10Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3252692156063231699,2024-04-01T11:36:22Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u503900050610634372,2024-04-01T11:34:21Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u503900050610634372,2024-04-01T11:36:39Z,6,2,FAY_VT076,Toy Scan,0,Toy_Scan
u8635235479553462344,2024-04-01T11:36:44Z,7,5,MUNCHY_VT085A,Free Gift,1,Free_Gift
u5076960524730685010,2024-04-01T11:36:30Z,6,4,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3991083062745922790,2024-04-01T11:36:41Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7382528162595124491,2024-04-01T11:36:38Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6581673803342909426,2024-04-01T11:36:45Z,1,0,BUNZ_VD282,Deep_Link,1,Deeplink
u4310975687443843311,2024-04-01T11:36:53Z,12,3,Seal_VD269,Toy Scan,1,Toy_Scan
u6828313673449208385,2024-04-01T11:42:49Z,3,1,BUNZ_VD282,Free Gift,1,Free_Gift
u1153166098607326852,2024-04-01T11:42:40Z,2,0,CURLING_LIONESS_VV108A,Toy Scan,1,Toy_Scan
u6140287629785420144,2024-04-01T11:42:34Z,5,7,MUNCHY_VT085A,Free Gift,1,Free_Gift
u2376318688874313476,2024-04-01T11:42:49Z,2,0,WILLA_VD248,QR Code,1,QR_Code
u4859765667009609978,2024-04-01T11:43:02Z,3,2,MECADONTE_DV506,QR Code,1,QR_Code
u1536432181058024063,2024-04-01T11:36:58Z,2,0,CROWN_BEAVER_VT094,Deep_Link,1,Deeplink
u4095390704659652356,2024-04-01T11:42:50Z,4,2,BUNZ_VD282,Free Gift,1,Free_Gift
u4370141420229192661,2024-04-01T11:42:54Z,3,4,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3987979317395084442,2024-04-01T11:37:08Z,4,6,LADY_BUNNY_-_SACK_VD285B,Toy Scan,0,Deeplink
u1153166098607326852,2024-04-01T11:43:04Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6803202763715379860,2024-04-01T11:43:00Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7273709406272730838,2024-04-01T11:43:17Z,1,0,PUFFER_VD197,Deep_Link,1,Deeplink
u6803202763715379860,2024-04-01T11:43:21Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2421962011133405403,2024-04-01T11:43:10Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2421962011133405403,2024-04-01T11:43:30Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u357427762519338669,2024-04-01T11:43:09Z,4,3,MECADONTE_DV506,Toy Scan,0,Toy_Scan
u5432850040944298586,2024-04-01T11:43:10Z,2,0,TILTING_RAPTOR_VT204,QR Code,1,QR_Code
u7905374660338819952,2024-04-01T11:43:26Z,3,2,R_PANDA_VU261,Reward System,1,Reward_System
u6870062634615744541,2024-04-01T11:37:31Z,2,0,Drone_VU078,Toy Scan,1,Toy_Scan
u6041367493323020713,2024-04-01T11:41:07Z,7,3,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u5076960524730685010,2024-04-01T11:43:24Z,6,7,Shooting Star_VU117,Free Gift,1,Free_Gift
u8764472567301591305,2024-04-01T11:37:49Z,2,0,ELSA_WITH_FRIENDSHIP_PENDANT_VTD15,QR Code,1,QR_Code
u606256766071212924,2024-04-01T11:43:44Z,5,2,MUNCHY_VT085A,Free Gift,1,Free_Gift
u7382528162595124491,2024-04-01T11:36:56Z,2,2,EAGLE_EMBOSS_VT015,QR Code,1,QR_Code
u2414149299978961619,2024-04-01T11:37:42Z,1,0,ELSA_YOUNG_WITH_OLAF_VTD16,Deep_Link,1,Deeplink
u4529820583632082177,2024-04-01T11:43:32Z,3,0,GOKU_SSGSS_VTD05,Toy Scan,1,Toy_Scan
u4234879745407771433,2024-04-01T11:43:17Z,6,2,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u8268846227043879566,2024-04-01T11:43:34Z,5,3,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6140287629785420144,2024-04-01T11:37:45Z,5,3,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u6320375702880894659,2024-04-01T11:37:58Z,10,4,SPIDER_MONKEY_VU249A,Reward System,1,Reward_System
u2421962011133405403,2024-04-01T11:37:35Z,2,0,VOCALIST_PARROCK_ENB34A,QR Code,1,QR_Code
u6870062634615744541,2024-04-01T11:37:41Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4199651116556991056,2024-04-01T11:38:02Z,2,2,RAMI_MOON_VT434,Free Gift,1,Free_Gift
u1536432181058024063,2024-04-01T11:37:51Z,2,1,BUNZ_VD282,Free Gift,1,Free_Gift
u6585463580193695255,2024-04-01T11:37:49Z,4,2,Hedgehog_VU328,Toy Scan,0,Deeplink
u2506391445139246904,2024-04-01T11:37:24Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u2506391445139246904,2024-04-01T11:37:39Z,3,3,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4121455737163144175,2024-04-01T11:44:07Z,4,5,RED_PANDA_VT300,Free Gift,1,Free_Gift
u573906355996085193,2024-04-01T11:44:01Z,3,0,VESPERIA_VD381,Toy Scan,1,Toy_Scan
u7273709406272730838,2024-04-01T11:44:12Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u6140287629785420144,2024-04-01T11:44:06Z,5,8,ZEBRA_VV114,Free Gift,1,Free_Gift
u6581673803342909426,2024-04-01T11:38:10Z,2,1,BUNZ_VD282,Toy Scan,0,Deeplink
u5748034888643251814,2024-04-01T11:38:06Z,3,2,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3993500932027257419,2024-04-01T11:38:11Z,2,0,PENGUIN_VD303,QR Code,1,QR_Code
u2414149299978961619,2024-04-01T11:38:00Z,1,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8515734796411773613,2024-04-01T11:44:14Z,1,0,BOLD_VT055,Toy Scan,1,Toy_Scan
u4199651116556991056,2024-04-01T11:38:35Z,2,3,CASSIE_VD207,Toy Scan,1,Toy_Scan
u6803202763715379860,2024-04-01T11:44:16Z,3,2,VEGETA_SSGSS_VTD09,QR Code,0,QR_Code
u4095390704659652356,2024-04-01T11:44:41Z,4,3,Shooting Star_VU117,Free Gift,1,Free_Gift
u1334179605176045078,2024-04-01T11:44:22Z,5,3,BUNZ_VD282,Free Gift,1,Free_Gift
u5076960524730685010,2024-04-01T11:38:22Z,6,5,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u4121455737163144175,2024-04-01T11:36:26Z,4,1,SCORPION_VEHICLE_VTD18,QR Code,1,QR_Code
u4121455737163144175,2024-04-01T11:37:20Z,4,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4121455737163144175,2024-04-01T11:37:35Z,4,3,MISTER_BUG_VTE10,QR Code,1,QR_Code
u3993500932027257419,2024-04-01T11:44:53Z,4,3,ELEPHANT_VV232,Toy Scan,1,Toy_Scan
u5832383722573347995,2024-04-01T11:44:51Z,1,0,Light Fairy_DVA02,Deep_Link,1,Deeplink
u1414472141512178960,2024-04-01T11:44:44Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8697359229551035735,2024-04-01T11:44:45Z,9,1,BUNZ_VD282,Free Gift,1,Free_Gift
u151558415062164154,2024-04-01T11:44:48Z,4,0,MECADONTE_DV506,Toy Scan,1,Toy_Scan
u5798221047008110785,2024-04-01T11:45:02Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u1946181010630582765,2024-04-01T11:45:13Z,7,6,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u600369948905057930,2024-04-01T11:45:04Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u600369948905057930,2024-04-01T11:45:23Z,3,2,TROTTER_VD168,QR Code,1,QR_Code
u1371878066416019919,2024-04-01T11:45:13Z,4,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:45:13Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:45:27Z,2,2,Light Fairy_DVA02,Deep_Link,0,Deeplink
u1414472141512178960,2024-04-01T11:45:12Z,2,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5200443765897325446,2024-04-01T11:45:33Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5200443765897325446,2024-04-01T11:45:44Z,2,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5309158875905450786,2024-04-01T11:45:43Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u125565138239342270,2024-04-01T11:45:43Z,16,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u573906355996085193,2024-04-01T11:45:35Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:45:44Z,2,2,RAPUNZEL_VV371,Toy Scan,1,Toy_Scan
u6581673803342909426,2024-04-01T11:46:01Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u125565138239342270,2024-04-01T11:46:14Z,16,2,Crown_VU192,Free Gift,1,Free_Gift
u4529820583632082177,2024-04-01T11:46:26Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3125943348681024788,2024-04-01T11:38:41Z,3,0,TILTING_PAPA_TREX_VT052,Toy Scan,1,Toy_Scan
u2414149299978961619,2024-04-01T11:38:54Z,2,2,ELSA_YOUNG_WITH_OLAF_VTD16,QR Code,0,Deeplink
u6370546222121328315,2024-04-01T11:46:27Z,1,0,PANTHER_VD273,Deep_Link,1,Deeplink
u8635235479553462344,2024-04-01T11:46:28Z,8,6,ZEBRA_VV114,Free Gift,1,Free_Gift
u9045722315659654864,2024-04-01T11:46:36Z,2,0,ELSA_WITH_BRUNI_VDF02,QR Code,1,QR_Code
u8617643353928873140,2024-04-01T11:46:33Z,2,0,PARROCK_PERCUSSIONIST_VTB47,Toy Scan,1,Toy_Scan
u6581673803342909426,2024-04-01T11:46:24Z,2,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6014560414966202426,2024-04-01T11:46:49Z,2,0,STUART_WITH_TELESCOPE_VTB36,Toy Scan,1,Toy_Scan
u5415806457870728517,2024-04-01T11:46:36Z,5,2,VOCALIST_PARROCK_ENB34A,Toy Scan,0,QR_Code
u357427762519338669,2024-04-01T11:46:51Z,4,3,BUNZ_VD282,Free Gift,1,Free_Gift
u8934330342319785379,2024-04-01T11:46:27Z,1,0,COSMOBUG_VD374,Deep_Link,1,Deeplink
u8934330342319785379,2024-04-01T11:47:04Z,2,1,COSMOBUG_VD374,QR Code,0,Deeplink
u4503290457810746663,2024-04-01T11:46:59Z,5,2,Harry Potter_VD385,Toy Scan,0,Toy_Scan
u5200443765897325446,2024-04-01T11:46:56Z,2,2,BUNZ_VD282,Free Gift,1,Free_Gift
u3920425510492507239,2024-04-01T11:47:09Z,2,0,BUNZ_VD282,Toy Scan,1,Toy_Scan
u3753022015135153898,2024-04-01T11:47:31Z,3,0,EAGLE_CRAYON_VT020,Toy Scan,1,Toy_Scan
u5832383722573347995,2024-04-01T11:47:33Z,3,3,Light Fairy_DVA02,Deep_Link,0,Deeplink
u357427762519338669,2024-04-01T11:47:32Z,4,4,Drone_VU078,Toy Scan,1,Toy_Scan
u6370546222121328315,2024-04-01T11:47:25Z,2,1,DONKEY_VT184,Toy Scan,1,Toy_Scan
u3993500932027257419,2024-04-01T11:47:36Z,4,4,Sheep_VU320,Toy Scan,1,Toy_Scan
u3555818352058238322,2024-04-01T11:47:45Z,10,8,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3753022015135153898,2024-04-01T11:47:56Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6370546222121328315,2024-04-01T11:48:08Z,2,2,KOMODO_DRAGON_VD310,Toy Scan,1,Toy_Scan
u8850823909549551821,2024-04-01T11:48:11Z,2,0,RUBBLE_VD349,Toy Scan,1,Toy_Scan
u718612818583007880,2024-04-01T11:48:00Z,3,6,Hangy_VU237,Reward System,1,Reward_System
u8697359229551035735,2024-04-01T11:47:40Z,11,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:48:07Z,4,3,Light Fairy_DVA02,Deep_Link,0,Deeplink
u8268846227043879566,2024-04-01T11:48:08Z,5,3,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:48:11Z,5,3,Light Fairy_DVA02,Deep_Link,0,Deeplink
u5832383722573347995,2024-04-01T11:48:27Z,6,3,Light Fairy_DVA02,Deep_Link,0,Deeplink
u3753022015135153898,2024-04-01T11:48:22Z,3,2,Catch Orca_VU263,Toy Scan,1,Toy_Scan
u357427762519338669,2024-04-01T11:48:10Z,4,5,Drone_VU078,Toy Scan,0,Toy_Scan
u7587415987942740113,2024-04-01T11:48:20Z,1,0,LADY_BUNNY_-_SACK_VD285B,Deep_Link,1,Deeplink
u8850823909549551821,2024-04-01T11:48:26Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5200443765897325446,2024-04-01T11:48:43Z,2,3,Shooting Star_VU117,Free Gift,1,Free_Gift
u4597829899501614562,2024-04-01T11:48:41Z,17,6,Crown_VU192,Free Gift,1,Free_Gift
u5274515249202777188,2024-04-01T11:48:59Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7587415987942740113,2024-04-01T11:49:09Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u6370546222121328315,2024-04-01T11:49:02Z,2,3,ELEPHANT_VT189,Toy Scan,1,Toy_Scan
u5695170426448617142,2024-04-01T11:49:03Z,2,0,HIPPOPOTAMUS_VD300,QR Code,1,QR_Code
u8617643353928873140,2024-04-01T11:48:55Z,4,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3920425510492507239,2024-04-01T11:48:56Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u5832383722573347995,2024-04-01T11:49:04Z,7,3,Light Fairy_DVA02,Deep_Link,0,Deeplink
u5737623645689442829,2024-04-01T11:49:29Z,3,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7871423771793870800,2024-04-01T11:49:24Z,2,0,Small Bag Troll_VUB24,Toy Scan,1,Toy_Scan
u2231320892486546466,2024-04-01T11:53:00Z,2,0,HAMMERHEAD_SHARK_VT188,Toy Scan,1,Toy_Scan
u8879275002263172590,2024-04-01T11:52:56Z,1,0,FIBBER_VD280,Deep_Link,1,Deeplink
u8879275002263172590,2024-04-01T11:53:17Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u114799921138473495,2024-04-01T11:53:08Z,5,2,Crown_VU192,Free Gift,1,Free_Gift
u3753022015135153898,2024-04-01T11:53:03Z,5,10,PILOT_KEVIN_DV598,Toy Scan,1,Toy_Scan
u4763524937151490986,2024-04-01T11:53:31Z,3,0,BUTTERFLY_BOX_VT064,Toy Scan,1,Toy_Scan
u4199651116556991056,2024-04-01T11:53:26Z,4,4,LOOMI_VD249,Toy Scan,1,Toy_Scan
u1907303368939509785,2024-04-01T11:53:31Z,2,2,BUNZ_VD282,Free Gift,1,Free_Gift
u2707579637915116676,2024-04-01T11:54:10Z,1,0,IRONMAN_VV401,Deep_Link,1,Deeplink
u2231320892486546466,2024-04-01T11:53:53Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4763524937151490986,2024-04-01T11:54:36Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3784711054336650441,2024-04-01T11:54:15Z,1,0,VOCALIST_PARROCK_ENB34A,Deep_Link,1,Deeplink
u589413836157692723,2024-04-01T11:54:13Z,17,5,ARLO_VD233,Reward System,1,Reward_System
u2707579637915116676,2024-04-01T11:54:25Z,1,1,ZEBRA_VV114,Free Gift,1,Free_Gift
u2231320892486546466,2024-04-01T11:54:39Z,2,2,SHARK_VUB05,Toy Scan,1,Toy_Scan
u3753022015135153898,2024-04-01T11:54:47Z,6,11,YOUNG_GRU_DV597,QR Code,1,QR_Code
u8268846227043879566,2024-04-01T11:54:39Z,5,5,Crown_VU192,Free Gift,1,Free_Gift
u573906355996085193,2024-04-01T11:54:51Z,5,2,BUNZ_VD282,Free Gift,1,Free_Gift
u3784711054336650441,2024-04-01T11:54:36Z,2,1,VOCALIST_PARROCK_ENB34A,Toy Scan,0,Deeplink
u7344005549531457572,2024-04-01T11:55:07Z,2,1,BUNZ_VD282,Free Gift,1,Free_Gift
u2707579637915116676,2024-04-01T11:55:15Z,2,2,IRONMAN_VV401,Toy Scan,0,Deeplink
u6014560414966202426,2024-04-01T11:55:11Z,5,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6014560414966202426,2024-04-01T11:55:30Z,5,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3753022015135153898,2024-04-01T11:55:15Z,6,12,Freestyle Skyer_VU168,Toy Scan,1,Toy_Scan
u8966927008644922567,2024-04-01T11:55:35Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u6165506696123275346,2024-04-01T11:55:35Z,4,3,PANTHER_VD273,Deep_Link,0,Toy_Scan
u1402301198541572674,2024-04-01T11:55:20Z,2,0,SHARK_VEHICLE_VTD19,Toy Scan,1,Toy_Scan
u3753022015135153898,2024-04-01T11:55:40Z,6,13,Freestyle Skyer_VU168,Toy Scan,0,Toy_Scan
u4763524937151490986,2024-04-01T11:55:52Z,3,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3283044051169183361,2024-04-01T11:55:48Z,2,0,ZEBRA_VV114,Free Gift,1,Free_Gift
u3985253326810538507,2024-04-01T11:55:54Z,1,0,FROGGY_VT070,Deep_Link,1,Deeplink
u7130510187093132276,2024-04-01T11:56:08Z,1,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7070655296512852741,2024-04-01T11:55:53Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7070655296512852741,2024-04-01T11:56:18Z,2,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3753022015135153898,2024-04-01T11:56:18Z,6,13,PILOT_KEVIN_DV598,QR Code,0,Toy_Scan
u8801258105508863017,2024-04-01T11:56:28Z,2,0,BUNZ_VD282,QR Code,1,QR_Code
u2779791642091601240,2024-04-01T11:56:37Z,2,0,AMOS_VD148,Toy Scan,1,Toy_Scan
u7344005549531457572,2024-04-01T11:56:22Z,2,2,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3985253326810538507,2024-04-01T11:56:15Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u1471044354451722569,2024-04-01T11:56:25Z,2,0,STEVEN_VT073,QR Code,1,QR_Code
u2231320892486546466,2024-04-01T11:56:30Z,2,3,HAMMERHEAD_SHARK_VT188,Toy Scan,0,Toy_Scan
u3555818352058238322,2024-04-01T11:56:51Z,11,9,Catch Orca_VU263,Deep_Link,1,Deeplink
u3753022015135153898,2024-04-01T11:56:35Z,6,13,BUTTERFLY_BOX_VT064,Toy Scan,1,Toy_Scan
u3135782112139283711,2024-04-01T11:56:58Z,1,0,RESCUE_COPTER_VT190,Deep_Link,1,Deeplink
u5846966661674690342,2024-04-01T11:56:21Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5846966661674690342,2024-04-01T11:57:01Z,2,2,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u3627787099676774018,2024-04-01T11:57:03Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8398924341876536428,2024-04-01T11:57:06Z,3,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8398924341876536428,2024-04-01T11:57:13Z,3,1,PANTHER_VD273,Deep_Link,1,Deeplink
u7332411568439243915,2024-04-01T11:56:59Z,4,3,Crown_VU192,Free Gift,1,Free_Gift
u8699285532502865148,2024-04-01T11:56:59Z,3,0,STEGOSAURUS_VV225,Toy Scan,1,Toy_Scan
u3135782112139283711,2024-04-01T11:57:25Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u3784711054336650441,2024-04-01T11:57:11Z,2,1,VOCALIST_PARROCK_ENB34A,Toy Scan,0,Deeplink
u3753022015135153898,2024-04-01T11:57:05Z,6,14,SPIN_SEAHORSE_VT061,QR Code,0,Toy_Scan
u3545377635507243904,2024-04-01T11:57:41Z,1,0,ZOOMIE_VD009,Deep_Link,1,Deeplink
u8288073705042522753,2024-04-01T11:57:51Z,1,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8699285532502865148,2024-04-01T11:57:33Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u8699285532502865148,2024-04-01T11:57:51Z,3,2,Shooting Star_VU117,Free Gift,1,Free_Gift
u2748427240376909446,2024-04-01T11:57:52Z,1,1,ELEPHANT_TOURIST_VD108,Free Gift,1,Free_Gift
u2971907177143206348,2024-04-01T11:57:45Z,3,3,Crown_VU192,Free Gift,1,Free_Gift
u7344005549531457572,2024-04-01T11:57:59Z,3,3,ZEBRA_VV114,Free Gift,1,Free_Gift
u3545377635507243904,2024-04-01T11:58:01Z,1,1,BUNZ_VD282,Free Gift,1,Free_Gift
u1962328455025839550,2024-04-01T11:57:56Z,2,0,BEAR_VU343,Toy Scan,1,Toy_Scan
u2389896554296215953,2024-04-01T11:58:19Z,1,0,BUNZ_VD282,Free Gift,1,Free_Gift
u9025464152972123004,2024-04-01T11:58:14Z,1,0,ASTRONAUT_WITH_JETPACK_VTD03A,Deep_Link,1,Deeplink
u2748427240376909446,2024-04-01T11:58:18Z,1,2,Shooting Star_VU117,Free Gift,1,Free_Gift
u5846966661674690342,2024-04-01T11:58:28Z,3,3,MUNCHY_VT085A,Free Gift,1,Free_Gift
u2779791642091601240,2024-04-01T11:58:31Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u343975392927226042,2024-04-01T11:58:05Z,5,2,RED_PANDA_VT300,Free Gift,1,Free_Gift
u303176226441241012,2024-04-01T11:58:33Z,1,0,BATMAN_WITH_JET-PACK_VTF04,Deep_Link,1,Deeplink
u5673656621874547079,2024-04-01T11:58:55Z,1,0,STUART_WITH_TELESCOPE_VTB36,Deep_Link,1,Deeplink
u1082778846067304204,2024-04-01T11:58:51Z,3,0,LADY_BUNNY_-_SACK_VD285B,Toy Scan,1,Toy_Scan
u7344005549531457572,2024-04-01T11:59:06Z,3,4,Shooting Star_VU117,Free Gift,1,Free_Gift
u7706039201181069709,2024-04-01T11:58:37Z,8,3,SPEEDY_BOB_VT114,Toy Scan,1,Toy_Scan
u1471044354451722569,2024-04-01T11:59:10Z,3,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3545377635507243904,2024-04-01T11:58:44Z,2,2,ZOOMIE_VD009,QR Code,0,Deeplink
u7519994079714722585,2024-04-01T11:58:54Z,5,2,BUNZ_VD282,Free Gift,1,Free_Gift
u5274515249202777188,2024-04-01T11:58:55Z,3,1,BUNZ_VD282,Free Gift,1,Free_Gift
u5274515249202777188,2024-04-01T11:59:25Z,4,2,SASHA_JAGUAR_VT082A,QR Code,1,QR_Code
u2469725565286825464,2024-04-01T11:59:28Z,5,0,Eagle_VU038,Toy Scan,1,Toy_Scan
u3753022015135153898,2024-04-01T11:59:10Z,6,14,BUNZ_VD282,Free Gift,1,Free_Gift
u5409517821511620340,2024-04-01T11:59:33Z,2,0,SPLOOSH_VD094,Toy Scan,1,Toy_Scan
u3252692156063231699,2024-04-01T11:58:13Z,5,2,BUNZ_VD282,Free Gift,1,Free_Gift
u3252692156063231699,2024-04-01T11:59:18Z,6,3,R_PANDA_VU261,Toy Scan,1,Toy_Scan
u41630960157317612,2024-04-01T11:59:41Z,5,0,PASCAL_HORSE_VT109,QR Code,1,QR_Code
u2469725565286825464,2024-04-01T11:59:48Z,5,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u4503290457810746663,2024-04-01T12:00:09Z,6,2,FLAMINGO_VD407A,Reward System,1,Reward_System
u5409517821511620340,2024-04-01T11:59:51Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u1962328455025839550,2024-04-01T12:00:00Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u1946181010630582765,2024-04-01T12:00:16Z,7,7,SQUEEZE_SCOUT_VT046,Reward System,1,Reward_System
u5409517821511620340,2024-04-01T12:00:21Z,2,2,MOUSE_EMBOSS_VT016,Toy Scan,1,Toy_Scan
u6140287629785420144,2024-04-01T11:38:45Z,5,4,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u8697359229551035735,2024-04-01T11:38:56Z,3,0,SPACE_DRONE_VD035,Free Gift,1,Free_Gift
u7529130012215869979,2024-04-01T11:38:54Z,2,0,CHAMELEON_VD292,QR Code,1,QR_Code
u5992669179887266056,2024-04-01T11:38:45Z,4,2,KEYBOARD_PARROCK_VTB46,Toy Scan,0,Toy_Scan
u3522068696383753813,2024-04-01T11:38:55Z,2,0,SHARK_VEHICLE_VTD19,Toy Scan,1,Toy_Scan
u5101358562162913243,2024-04-01T11:38:54Z,2,0,ARCTIC_BOB_VD209,Toy Scan,1,Toy_Scan
u5200443765897325446,2024-04-01T11:38:51Z,2,0,CHOMP_CATCH_VT202,Toy Scan,1,Toy_Scan
u8075636138002374804,2024-04-01T11:39:14Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7382528162595124491,2024-04-01T11:39:11Z,4,3,TRICERATOPS_VV224,QR Code,1,QR_Code
u7471070341536323608,2024-04-01T11:37:48Z,2,0,RED_PANDA_VT300,Free Gift,1,Free_Gift
u3993500932027257419,2024-04-01T11:39:15Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
u7471070341536323608,2024-04-01T11:39:15Z,4,1,YOUNG_GRU_DV597,QR Code,1,QR_Code
u7529130012215869979,2024-04-01T11:39:29Z,2,1,RED_PANDA_VT300,Free Gift,1,Free_Gift
